frame_nmr,car_id,vehicle_type,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2023-11-22 19:50:01.091205,1.0,car,[89.86524193661904 69.7719275947764 937.7145283785278 624.9384819245467],[325.8245544433594 368.81109619140625 527.9613647460938 517.0642700195312],0.5205771327018738,LNB-617-A,0.9982203272010586
2023-11-22 19:50:01.759978,1.0,car,[80.41557000161004 67.80733767819697 953.6326329809814 645.8507261735339],[325.86322021484375 368.7645568847656 527.886962890625 517.014892578125],0.5209804773330688,LNB-617-A,0.9982508319662506
2023-11-22 19:50:02.391778,1.0,car,[75.46760331734032 63.85721901431879 962.3821214109064 655.6331230448907],[325.8680114746094 368.7941589355469 527.8861083984375 517.0167846679688],0.5210303664207458,LNB-617-A,0.9981882310713754
2023-11-22 19:50:17.194139,-1,-1,[-1 -1 -1 -1],[338.9425964355469 311.8343200683594 458.6064147949219 392.50994873046875],0.5827073454856873,NZL-52-36,0.9974677419686588
2023-11-22 19:50:17.885305,-1,-1,[-1 -1 -1 -1],[338.9188232421875 311.7889709472656 458.5243225097656 392.507080078125],0.5832197070121765,NZL-52-36,0.9978614734429937
2023-11-22 19:50:18.472076,-1,-1,[-1 -1 -1 -1],[338.92205810546875 311.79034423828125 458.5269470214844 392.5012512207031],0.5832070112228394,NZL-52-36,0.9978614734429937
2023-11-22 19:50:19.073715,8.0,car,[189.73415454172704 67.70436074759112 696.823077401154 440.4380337243976],[338.55267333984375 299.9414978027344 447.4837646484375 372.8773498535156],0.6216707229614258,658-AUA,0.9989631577969851
2023-11-22 19:50:19.594979,8.0,car,[202.73460805228004 69.67347296638371 686.6513393202497 437.7767478480429],[338.59197998046875 299.9314270019531 447.5854187011719 372.8678283691406],0.6218338012695312,658-AUA,0.9988220342390625
2023-11-22 19:50:20.176102,8.0,car,[209.15403304631383 69.95688653049447 680.8524633922598 437.33687722510604],[338.59271240234375 299.93206787109375 447.5849609375 372.8669128417969],0.6218595504760742,658-AUA,0.9988220342390625
2023-11-22 19:50:25.241331,32.0,car,[176.41895858756885 69.67587598565495 866.680819449891 605.795993215854],[269.3619079589844 351.3146057128906 411.7247619628906 464.08990478515625],0.5909835696220398,276-XRC,0.45841530309864653
2023-11-22 19:50:25.861323,32.0,car,[163.03325014608095 68.77855353454004 903.5416088405502 629.7795995283524],[269.33734130859375 351.3375244140625 411.7171630859375 464.0684509277344],0.5917915105819702,276-XRC,0.46715971326373296
2023-11-22 19:50:26.380227,32.0,car,[150.85345574359002 66.08387620047284 923.0907486169851 640.883962892329],[269.3379821777344 351.3418884277344 411.7165222167969 464.07305908203125],0.5916240811347961,276-XRC,0.46715971326373296
2023-11-22 19:50:28.648038,32.0,car,[90.81210449869064 46.28112076789375 700.0344862183852 477.38941113064925],[189.73121643066406 337.7655029296875 284.9724426269531 414.9377746582031],0.6057054996490479,HGK-028-A,0.8965233317497756
2023-11-22 19:50:32.558482,32.0,car,[89.05831608041922 51.97523809971892 674.5065010672492 465.8501570544621],[189.73558044433594 337.75360107421875 284.9676818847656 414.95068359375],0.6054850816726685,HGK-028-A,0.9003517589666842
2023-11-22 19:50:36.269355,32.0,car,[92.6210811834892 57.125966003914186 661.4878497686743 458.99618774653345],[189.7355499267578 337.75213623046875 284.96893310546875 414.9415283203125],0.605517566204071,HGK-028-A,0.9003517589666842
2023-11-22 19:50:41.445109,32.0,car,[270.2035801751329 67.7988841365792 798.5056335840761 466.20143260346526],[404.1963806152344 200.05166625976562 497.7976989746094 272.5465087890625],0.6299224495887756,NHH-14-98,0.9425881208468206
2023-11-22 19:50:42.041067,32.0,car,[290.45460367724894 67.62850886229106 799.8220671945983 461.09690723887684],[404.1971740722656 200.06451416015625 497.7820129394531 272.5400390625],0.6298190355300903,NHH-14-98,0.9448014735405712
2023-11-22 19:50:42.701798,32.0,car,[300.9608678237903 68.36261970714685 797.0171998335934 458.4495747486574],[404.1968994140625 200.07220458984375 497.7919006347656 272.5316162109375],0.6300016641616821,NHH-14-98,0.9411002257913089
2023-11-22 19:50:43.403630,32.0,car,[306.82776626258 69.18596858658788 793.6583103553588 457.1151992440229],[404.1968994140625 200.07220458984375 497.79180908203125 272.5315246582031],0.6300010085105896,NHH-14-98,0.9411002257913089
2023-11-22 19:50:44.039842,32.0,car,[284.0125631947029 72.34252919499176 798.2326758576875 471.72203455119717],[376.9525451660156 127.12447357177734 489.6114807128906 213.8678741455078],0.5528873801231384,PBJ-20-64,0.9596674740493542
2023-11-22 19:50:44.714237,32.0,car,[270.40877624805154 71.88022226053508 804.5058567798512 479.116516859837],[376.9714050292969 127.3066177368164 489.5664367675781 213.71316528320312],0.5524857044219971,PBJ-20-64,0.9485418350453545
2023-11-22 19:50:45.383155,32.0,car,[261.6613035388561 70.46783914295708 810.2311345201654 483.2069479556164],[376.9700622558594 127.30238342285156 489.5669250488281 213.7188720703125],0.5523995161056519,PBJ-20-64,0.9421335529151644
2023-11-22 19:50:46.065104,32.0,car,[238.5888372799214 82.23181258711392 789.0308282780325 513.4586299878462],[366.669189453125 225.41236877441406 466.38385009765625 299.22076416015625],0.579291820526123,PBG-82-91,0.856382039382503
2023-11-22 19:50:46.704316,32.0,car,[229.78721455348676 83.15218581254763 781.0074858860387 528.3294573605984],[366.6686706542969 225.4127655029297 466.38372802734375 299.23162841796875],0.5792785286903381,PBG-82-91,0.856382039382503
2023-11-22 19:50:47.248737,32.0,car,[226.4170930986196 80.85570570537075 777.9454819952256 536.5495722220562],[366.6697082519531 225.4127197265625 466.38336181640625 299.232421875],0.5792315006256104,PBG-82-91,0.856382039382503
2023-11-22 19:50:51.105648,32.0,car,[74.84287810745946 77.6219102227719 864.2689777951009 581.1536491936583],[352.00640869140625 195.98497009277344 541.1364135742188 310.76470947265625],0.6207705736160278,NJK-16-94,0.9970970135586094
2023-11-22 19:50:56.746429,32.0,car,[92.32777517758348 70.25177837457079 750.1148084662668 648.7045929365618],[291.8739929199219 483.16424560546875 445.4460754394531 579.457763671875],0.5979259014129639,NHE-12-90,0.989437973794015
2023-11-22 19:50:57.466864,32.0,car,[103.54490598225584 69.10207520743973 759.4389940115433 650.729365241702],[291.8756408691406 483.1911926269531 445.41351318359375 579.4288330078125],0.597895622253418,NHE-12-90,0.9896735728115182
2023-11-22 19:50:58.214609,32.0,car,[108.2247873701553 67.9838286549425 762.6708970320965 651.9168046182842],[291.90399169921875 483.1961364746094 445.4160461425781 579.4365234375],0.597996711730957,NHE-12-90,0.9892307528985067
